chuyen di chuyen lai	chuyển đi chuyển lại
xấunhưng	xấu nhưng
zựtcôhôn	zựt cô hồn
ai biet	ai biết
ai biét	ai biết
ai biêt	ai biết
am binh	âm binh
ấn dụng	ứng dụng
appmượt	app mượt
bân rôn	bận rộn
bao dam	bảo đảm
bất xúc	bức xúc
bien di	biến đi
bthuong	bình thường
bthường	bình thường
công ti	công ty
cong ty	công ty
cuc sac	cục sạc
cung ok	cũng ok
da dang	đa dạng
dang ky	đăng ký
de dang	dễ dàng
dia chi	địa chỉ
doi khi	đôi khi
doi tra	đổi trả
dthương	dễ thương
feeship	free ship
gia soc	giá sốc
hang rẻ	hàng rẻ
hap dan	hấp dẫn
hay đay	hay đấy
hữ dụng	hữu dụng
huu ich	hữu ích
huu ích	hữu ích
hưu ich	hữu ích
huu ivh	hữu ích
hưu ivh	hữu ích
iphonee	iphone
ket noi	kết nối
kinh te	kinh tế
lazadaa	lazada
lazzada	lazada
lien he	liên hệ
lua dao	lừa đảo
lua đao	lừa đảo
lưa đao	lừa đảo
mac hon	mắc hơn
mắt mệt	mắc mệt
met moi	mệt mỏi
mog mõi	mong mỏi
mổi mòn	mỏi mòn
mua sam	mua sắm
nhiềuuu	nhiều
nhu cuc	như cức
p triển	phát triển
phuc vu	phục vụ
qua lâu	quá lây
qui tín	uy tín
quy tín	uy tín
rắt rối	rắc rối
rấtbhay	rất hay
ratthik	rất thích
rấttiện	rất tiện
ratxtot	rất tốt
rõ rành	rõ ràng
shipber	shipper
shoopee	shopee
shooppe	shopee
shop ee	shopee
shopbee	shopee
shopeee	shopee
shoppee	shopee
sphopee	shopee
su dung	sử dụng
tại sau	tại sao
tan noi	tận nơi
tao lao	tào lao
tao lau	tao lao
tau lau	tao lao
te that	tệ thật
thất ra	thật ra
that su	thật sự
thay rẻ	thấy rẻ
thuc te	thực tế
tin cay	tin cậy
tinh te	tinh tế
tốcvcáo	tố cáo
tốt hon	tốt hơn
tốtnhất	tốt nhất
trading	trading
trugtâm	trung tâm
ức dụng	ứng dụng
ừn dụng	ứng dụng
ung dug	ứng dụng
ứngdung	ứng dụng
ứngdụng	ứng dụng
uy tinh	uy tín
uy tính	uy tín
vọngkhi	vọng khi
vọngtôi	vọng tôi
vùalòng	vừa lòng
xhopbee	shopee
xuâtsac	xuất sắc
yen tam	yên tâm
youtobe	youtube
ai biê	ai biết
ai bit	ai biết
bị lưa	bị lừa
bnhiêu	bao nhiêu
bo het	bỏ hết
bo lao	bố láo
cam on	cảm ơn
cam ơn	cám ơn
cat co	cắt cổ
chủaan	chuẩn
chuđáo	chu đáo
chuyễn	chuyển
co the	có thể
coment	comment
ctrinh	chương trình
ctrình	chương trình
cũng z	cũng vậy
đặc đồ	đặt đồ
đhbkhn	đại học bách khoa hà nội
đhkhtn	đại học khoa học tự nhiên
đthoai	điện thoại
đthoại	điện thoại
ep gia	ép giá
hjxhjx	hix hix
hop ly	hợp lý
huu ic	hữu ích
huu it	hữu ích
hưu it	hưu ích
hữu ít	hữu ích
khiong	không
khongg	không
Khoonh	không
ladaza	lazada
lam an	làm ăn
larada	lazada
lasada	lazada
lazađa	lazada
lazâda	lazada
lâzada	lazada
lazala	lazada
lazara	lazada
lazaza	lazada
muasắm	mua sắm
my fen	my friend
nchung	nói chung
nghành	ngành
ngkhac	người khác
ngkhác	người khác
ngonvl	ngon vãi lồn
nhu cc	như con cặc
như cc	như con cặc
nhueng	nhưng
on lai	online
phi rẻ	phí rẻ
phopee	shopee
qtrọng	quan trọng
qua te	quá tệ
quá te	quá tệ
quoảng	quảng
rat te	rất tệ
rất te	rất tệ
rathay	rất hay
ratoke	rất được
ráttot	rất tốt
re hon	rẻ hơn
sen do	sendo
sen đỏ	sendo
shendo	sendo
shiper	shipper
shoope	shopee
shoppe	shopee
shoppi	shopee
shoppy	shopee
shpoee	shopee
sohpee	shopee
soopee	shopee
soppee	shopee
te hai	tệ hại
te lắm	tệ lắm
tha ho	tha hồ
thgian	thời gian
thíchh	thích
thichs	thích
thu vi	thú vị
thuơng	thương
tkhoan	tài khoản
toi te	tồi tệ
toi uu	tối ưu
tốtcho	tốt cho
tp hcm	thành phố hồ chí minh
tthông	thông
tthuận	thuận
ttuyệt	tuyệt
tuicòn	tui còn
tuyeta	tuyệt
tuyêtf	tuyệt
tuyetj	tuyệt
tuyêtj	tuyệt
tuyêtk	tuyệt
tuyêtn	tuyệt
tuyett	tuyệt
uc chế	ức chế
ug dug	ứng dụng
ung ho	ủng hộ
uu dai	ưu đãi
uu đai	ưu đãi
ưu dai	uư đãi
ưu tín	uy tín
uy tin	uy tín
ủy tín	uy tín
van de	vấn đề
vnpost	vnpost
vnpots	vnpost
vo van	vớ vẩn
vocher	voucher
xemxet	xem xét
xhopee	shopee
xinloi	xin lỗi
yêntam	yên tâm
yeucau	yêu cầu
yêucầu	yêu cầu
zalada	lazada
zaxada	lazada
nhiềuu	nhiều
apmin	admin
arpay	airpay
atrai	anh trai
biett	biết
bnhiu	bao nhiêu
btrai	bạn trai
buồii	buồi
cguan	chuẩn
chách	trách
chẵng	chẳng
chiệu	chịu
chuan	chuẩn
chuện	chuyện
chưởi	chửi
chyển	chuyển
coppy	copy
csong	cuộc sống
csống	cuộc sống
ctrai	con trai
ctraj	con trai
cugok	cũng được
cũngg	cũng
cunhx	cũng
cviec	công việc
cx dc	cũng được
đcsvn	đảng cộng sản việt nam
delay	hoãn
đkiện	điều kiện
duyet	duyệt
giaob	giao
giaov	giao
goodd	good
goole	google
gop y	góp ý
hahah	ha ha
haoif	hoài
hđộng	hành động
hixxx	hích
hphúc	hạnh phúc
insta	instagram
iphon	iphone
khoảg	khoảng
khong	không
khônh	không
làada	lazada
lazda	lazada
lâzda	lazada
lquan	liên quan
lquen	làm quen
ltinh	linh tinh
lzada	lazada
ngiem	nghiêm
ngiệm	nghiệm
ngòai	ngoài
nguoi	người
nguời	người
ngừoi	người
ngyeu	người yêu
ngyêu	người yêu
nhièu	nhiều
nhiue	nhiều
nhìuk	nhiều
nhjeu	nhiều
nhưbg	nhưng
nhữnc	những
nhứng	nhưng
nhưnh	nhưng
nhữnh	những
nkưng	nhưng
ntnao	như thế nào
ntnày	như thế này
nvien	nhân viên
ơ đây	ở đây
onlne	online
popup	pop up
q cáo	quảng cáo
quịch	quỵt
quỵch	quỵt
raats	rất
ratot	rất tốt
ratte	rất tệ
rieng	riêng
rrats	rất
sdung	sử dụng
senđo	sendo
senđỏ	sendo
shoop	shop
shope	shopee
shopi	shopee
shopp	shop
shopy	shopee
shpee	shopee
shppe	shopee
snghĩ	suy nghĩ
sopee	shopee
soppe	shopee
soppi	shopee
soppy	shopee
spham	sản phẩm
sphẩm	sản phẩm
sử lí	xử lý
sử lý	xử lý
sướnq	sướng
sviên	sinh viên
tạmđc	tạm được
tgian	thời gian
thahk	thank
thich	thích
thick	thích
thíck	thích
thjch	thích
thôii	thôi
thươg	thương
thườg	thường
tphcm	thành phố hồ chí minh
trieu	triệu
trloi	trả lời
troai	trai
truoc	trước
trườg	trường
trướk	trước
tthất	thất
ttiện	tiện
ttoàn	toàn
ttrên	trên
tượmg	tượng
tưỡng	tưởng
tửong	tưởng
tuyet	tuyệt
tuyêt	tuyệt
tuyẹt	tuyệt
tuỵet	tuyệt
tụyêt	tuyệt
ứdụng	ứng dụng
vềbên	về bên
vềchi	về chi
việcc	việc
vnpos	vnpost
voeif	với
voeis	với
vthôi	vậy thôi
vua y	vừa ý
wuảng	quảng
xưỡng	xưởng
ýthức	ý thức
zthoi	vậy thôi
zthôi	vậy thôi
gđình	gia đình
atsm	ảo tưởng sức mạnh
baoh	bao giờ
bâyh	bây giờ
bgái	bạn gái
bgio	bao giờ
biet	biết
biêt	biết
bjet	biết
bsvv	buổi sáng vui vẻ
bthg	bình thường
buầi	buồi
buôg	buông
buồu	buồi
cđời	cuộc đời
cgai	con gái
cgái	con gái
chàg	chàng
chăg	chăng
chẳg	chẳng
chẳn	chẳng
chiu	chịu
chìu	chiều
chta	chúng ta
chug	chung
chúg	chúng
chữi	chửi
ckua	chưa
cmày	chúng mày
cmnd	chứng minh nhân dân
cskh	chăm sóc khách hàng
ctác	công tác
ctkm	chương trình khuyến mãi
đhọc	đại học
điểu	đểu
đjên	điên
đtqg	đội tuyển quốc gia
duma	đụ má
đúmg	đúng
dụnh	dụng
đúnh	đúng
duoc	được
đuoc	được
đuợc	được
đuọc	được
đươc	được
duok	được
đvvc	đơn vị vận chuyển
đzai	đẹp trai
dzậy	dậy
emil	email
face	facebook
ghet	ghét
ghtk	giao hàng tiết kiệm
giãm	giảm
giất	rất
giog	giống
giốg	giống
giởm	dỏm
giup	giúp
gjao	giao
hajz	haiz
hànq	hàng
hayy	hay
hêhê	hê hê
hiha	hi ha
hihe	hi he
hìhì	hì hì
hjnh	hinh
hnay	hôm nay
hoăc	hoặc
hông	không
hqua	hôm qua
htrc	hôm trước
huux	hữu
jong	giống
keke	ce ce
khog	không
khôg	không
khôq	không
kiễm	kiểm
kiti	tiki
kmai	khuyến mãi
kqua	kết quả
ksao	không sao
ktra	kiểm tra
kứng	cứng
lagg	lag
laza	lazada
llac	liên lạc
lmht	liên minh huyền thoại
lồnz	lồn
lozz	lồn
luog	luong
lượg	lượng
mink	mình
mìnk	mình
mjnh	mình
monh	mong
mpvc	miễn phí vận chuyển
napj	nạp
ngag	ngang
ngàh	ngành
ngđo	người đó
ngđó	người đó
ngèo	nghèo
nghj	nghi
ngía	nghía
ngin	nghìn
ngìn	nghìn
ngke	nghe
ngốk	ngốc
ngta	người ta
nhaa	nha
nhah	nhanh
nhặp	nhập
nhều	nhiều
nhiu	nhiêu
nhìu	nhiều
nhju	nhiều
nhoé	nhé
nhug	nhưng
nhưg	nhưng
nhữg	những
nhưn	nhưng
nhữn	những
nhưq	nhưng
niếu	nếu
nógn	nóng
nthe	như thế
nthê	như thế
nthế	như thế
nvay	như vậy
nvậy	như vậy
nvqs	nghĩa vụ quân sự
nyêu	người yêu
o ke	ok
ô kê	ok
ơiii	ơi
okey	ok
okii	ok
okok	ok
phãi	phải
phaj	phai
phog	phong
phòg	phòng
piết	biết
qcao	quảng cáo
qtam	quan tâm
qtâm	quan tâm
quag	quang
quãg	quảng
quảg	quảng
quás	quá
rácc	rác
râst	rất
râtd	rất
rats	rất
râts	rất
rấtt	rất
riếc	riết
riêg	riêng
riet	riết
rồii	rồi
sedo	sendo
shio	ship
shíp	ship
shjp	ship
shóp	shop
sihp	ship
snvv	sinh nhật vui vẻ
sohp	shop
svtn	sinh viên tình nguyện
tcảm	tình cảm
tgdd	thế giới di động
thag	thang
thág	tháng
thằg	thằng
thẳg	thẳng
thah	thanh
thàh	thành
thẳn	thẳng
tháy	thấy
thic	thích
thíc	thích
thik	thích
thík	thích
thít	thích
thíu	thiếu
thix	thích
thjc	thích
thjk	thích
thog	thong
thôg	thông
thoy	thôi
thpt	trung học phổ thông
thuj	thôi
thým	thím
tiếg	tiếng
tièn	tiền
tiẹn	tiện
tjen	tien
tjnh	tinh
tlai	tương lai
tmdt	thương mại điện tử
tmđt	thương mại điện tử
tnào	thế nào
tôtd	tốt
trag	trang
trắg	trắng
trậm	chậm
tren	trên
trog	trong
trọg	trọng
trug	trung
trùg	trùng
tthứ	thứ
ttoi	toi
ttôi	tôi
ttới	tới
tuii	tui
tưởg	tưởng
tượg	tượng
tưởn	tưởng
tưởq	tưởng
tyệt	tuyệt
tyêu	tình yêu
ứung	ứng
vaiz	vãi
vânx	vẫn
vâyh	vậy
vâyj	vậy
vâyk	vậy
vậyy	vậy
vchg	vãi chưởng
vídụ	ví dụ
vnxk	việt nam xuất khấu
vơia	với
vơig	vời
vớii	với
vờii	vời
wánh	quánh
wjfi	wifi
wjfj	wifi
wtam	quan tâm
wtâm	quan tâm
xhop	shop
xink	xinh
xloi	xin lỗi
xomg	xong
xuốg	xuống
xuồg	xuồng
xuơg	xương
xưởg	xưởng
xuốq	xuống
ycầu	yêu cầu
ytâm	yên tâm
yyêu	yêu
z là	vậy là
zóng	giống
zòng	dòng
zống	giống
zọng	giọng
zuii	vui
hjhj	hihi
aap	app
acc	account
ace	anh chị em
ápp	app
ăpp	app
aye	anh yêu em
bằg	bằng
bân	bận
băt	bắt
bbè	bạn bè
bìh	bình
bik	biết
bit	biết
bjk	biết
bjt	bit
bme	bố mẹ
bóg	bóng
bsĩ	bác sĩ
bth	bình thường
căc	cặc
cag	cang
càg	càng
cặk	cặc
cãm	cảm
cặt	cặc
cbị	chuẩn bị
cẹc	cặc
chễ	trễ
chj	chi
chk	chồng
chs	chẳng hiểu sao
chử	chữ
chx	chưa
cjo	cho
cka	cha
cko	cho
cmt	comment
coa	có
cóa	có
côg	công
cta	chúng ta
ctr	chương trình
ctv	cộng tác viên
cty	công ty
cũa	của
cữa	cửa
cug	cũng
cùg	cùng
cũg	cũng
củg	cũng
cũn	cũng
cuq	cũng
cũq	cũng
dag	đang
đag	đang
đág	đáng
đăg	đăng
dàh	dành
đáh	đánh
đão	đảo
đaq	đang
đăq	đăng
địh	định
đii	đi
djt	địt
đjt	địt
dki	đăng ký
đki	đăng ký
đkí	đăng ký
dky	đăng ký
đky	đăng ký
dòg	dòng
đóg	đóng
đôg	đông
đồg	đồng
độg	động
đỏi	đổi
dỗm	dỏm
dổm	dỏm
dõm	dỏm
dùg	dùng
dừg	dừng
dụg	dụng
đug	đung
đúg	đúng
đứg	đứng
đừg	đừng
dụn	dụng
dụq	dụng
đúq	đúng
dvu	dịch vụ
eya	em yêu anh
fai	phải
fải	phải
fây	phây
fen	friend
gắg	gắng
gất	rất
gét	ghét
ghj	ghi
ghn	giao hàng nhanh
gía	giá
gìơ	giờ
giử	giữ
gja	gia
gjo	gio
gòi	rồi
gữi	gửi
hag	hàng
hàg	hàng
hàh	hành
haj	hai
hàq	hàng
hcm	hồ chí minh
hđh	hệ điều hành
hic	hích
hìh	hình
hỉu	hiểu
hjx	hix
hkì	học kỳ
hog	hông
hok	không
họk	học
hoy	thôi
hsd	hạn sử dụng
hsơ	hồ sơ
hsy	hay
hứq	hứng
huy	hủy
huỹ	hủy
hũy	hủy
in4	info
jao	giao
júp	giúp
kái	cái
kảm	cảm
kậu	cậu
kêh	kênh
khg	không
khj	khi
kih	kinh
kiu	kêu
kỉu	kiểu
klq	không liên quan
kog	không
kòn	còn
kte	kinh tế
kủa	của
kug	cũng
kũg	cũng
lad	là
lag	đơ
lặg	lặng
lạh	lạnh
laj	lai
lám	lắm
lắt	lắc
laz	lazada
lgi	làm gì
lòg	lòng
lổi	lỗi
lsf	là
lữa	nữa
luk	lúc
lúk	lúc
lun	luôn
lzd	lazada
lzi	làm gì
mạg	mạng
met	mệt
mịa	mẹ
mih	mình
mìh	mình
mik	mình
mìk	mình
mjh	mình
mjk	mình
mng	mọi người
mog	mong
mói	mới
moj	moi
mớj	mới
mqh	mối quan hệ
mún	muốn
mxh	mạng xã hội
nàg	nàng
năg	năng
nắg	nắng
nặg	nặng
nãn	nản
nch	nói chuyện
nek	nè
nèk	nè
neu	nếu
nge	nghe
ngĩ	nghĩ
ngt	người ta
nhg	nhưng
nhx	nhưng
nkư	như
nsx	nhà sản xuất
nta	người ta
ntn	như thế nào
nua	nữa
nyc	người yêu cũ
okê	ok
ôkê	ok
oki	ok
okk	ok
onl	online
ote	được
pải	phải
phj	phi
pik	biết
pit	biết
pjt	biết
plz	please
qài	hoài
qhe	quan hệ
qhệ	quan hệ
qúa	quá
qué	quá
quí	quý
ràg	ràng
răg	răng
rằg	rằng
rak	rất
rat	rất
rât	rất
rẩt	rất
rep	trả lời
rùi	rồi
sag	sang
sạo	xạo
sdt	số điện thoại
sđt	số điện thoại
sịn	xịn
sip	ship
síp	ship
soá	xóa
sốg	sống
som	sớm
sop	shop
sóp	shop
sốp	shop
stk	số tài khoản
sub	subcribe
sui	xui
tăg	tăng
tặg	tặng
tãi	tải
taj	tai
tđn	thế đéo nào
thj	thi
thk	thanks
thỳ	thì
tih	tinh
tíh	tính
tìh	tình
tiu	tiêu
tjn	tin
tks	thanks
tổg	tổng
toj	toi
tot	tốt
tót	tốt
tôt	tốt
trã	trả
trc	trước
trk	trước
trl	trả lời
ttừ	từ
từg	từng
tym	tim
uhm	ừm
ukm	uh
unf	unfriend
uốg	uống
vaf	và
vag	và
vao	vào
vcđ	vãi cả đái
vch	vãi chưởng
vde	vấn đề
vđê	vấn đề
vđề	vấn đề
vkl	vãi cả lồn
vòg	vòng
vọg	vọng
vói	với
vớj	với
vùg	vùng
vuj	vui
wài	hoài
wak	quá
wen	quen
wên	quên
wep	web
woá	quá
wuá	quá
wúa	quá
xắm	sắm
xih	xinh
xip	ship
xog	xong
xoq	xong
xug	xùng
xứg	xứng
xỷn	xỉn
ytb	youtube
zám	dám
zay	vậy
zậy	vậy
zìa	gì
zốg	giống
zồi	rồi
zới	với
zòm	dòm
zỏm	dỏm
zởm	dỏm
zừa	vừa
zui	vui
zùi	rồi
zùm	dùm
hôg	không
ơii	ơi
ad	admin
ae	anh em
ah	à
àh	à
ạh	ạ
aj	ai
ak	à
ák	á
àk	à
ạk	ạ
bn	bạn
cã	cả
ce	chị em
cg	cũng
cj	chị
ck	chồng
cv	công việc
cx	cũng
dc	được
đc	được
đễ	để
dg	đang
đg	đang
dì	gì
đỉ	đĩ
đt	điện thoại
dv	dịch vụ
dx	được
đx	được
dz	đẹp trai
đz	đẹp giai
éo	đéo
fb	facebook
fs	free ship
gđ	gia đình
gê	ghê
gẻ	rẻ
gi	gì
gj	gi
hà	à
hj	hi
hk	không
ib	inbox
ik	ý
iu	yêu
ji	gì
jo	giờ
kg	không
kh	không
km	khuyến mãi
ko	không
kô	không
ku	cu
lm	làm
mh	mình
mk	mình
mn	mọi người
ms	mới
ng	người
ns	nói
nv	nhân viên
nx	nữa
ny	người yêu
ôg	ông
oh	ồ
oy	rồi
òy	rồi
pị	bị
pn	bạn
qá	quá
qà	quà
qả	quả
qc	quảng cáo
re	rẻ
rẽ	rẻ
rì	gì
sd	sử dụng
sf	sản phẩm
sg	sài gòn
sp	sản phẩm
sr	sorry
tq	trung quốc
ud	ứng dụng
ưd	ứng dụng
ug	ứng
ủg	ủng
ưg	ưng
ứg	ứng
uh	ừ
uk	uh
ừk	ừ
ứq	ứng
vc	vợ chồng
vd	ví dụ
vđ	vãi đái
vk	vợ
vn	việt nam
vs	với
vv	vui vẻ
wa	quá
wá	quá
xg	xuống
xl	xin lỗi
yc	yêu cầu
zà	già
zạ	dạ
zẻ	vẻ
zì	gì
zú	vú
zư	dư
zữ	dữ
zử	dữ
zụ	dụ
zô	vô
k	không
r	rồi
j	gì
z	vậy
